category,question,answer,url
Cancellations and refunds,Why can cancelling transfers increase fees?,"Every time someone transfers money with Wise, they pay a fee that covers the cost of that transfer. For example, the operational effort to move the money, and exchange it. When you cancel a transfer, some of those costs still happen. But you don’t pay the transfer fee anymore. This means that if too many people cancel, Wise may have to increase our fees to cover the gap. On the other hand, if people cancel less often, we’ll be able to pass those savings on by reducing fees in the future, as we’ve done in the past. Our price is always fair and always based on our cost. What else happens if I cancel too often?If you cancel too often, you’ll also lose access to your guaranteed rate. This means that you’ll get the live rate when we receive your money. How can I avoid cancelling transfers?One way to avoid cancelling transfers is to open a balance and add the money you want to transfer there. You can then convert it at any time, instantly — and depending on the currencies you’re sending between, it usually costs less than making a transfer. Check out how much you could save. Another option is Auto Conversions. Set your desired exchange rate, and we’ll convert the money automatically when it hits that point. You’ll need to have money in your Wise account to do this. Something went wrong with my transfer — is it OK to cancel?We understand that sometimes, things can go wrong. And that’s what the cancellation option is for. So, it’s totally OK to cancel if you have to — just be careful not to cancel too often.",https://wise.com/help/articles/2978072/why-can-cancelling-transfers-increase-fees
Cancellations and refunds,How long do refunds take?,"The time it takes for a refund to get paid back into your account depends on a number of things. These include the way you paid for the transfer, the currency you paid with, and how long your bank takes to process refunds. Refunds for bank transfersGenerally, a bank transfer takes between 0–3 working days to appear back in your account. For more specific times based on your currency and payment method, find the currency you paid with. Refund information is at the bottom of each page. Refunds to credit or debit cardIf you paid by credit or debit card, the refund can usually take up to 10 working days to go back into your account. The reason it can take so long is because both our provider and the bank that issued your card need to process the refund. For specific times based on your currency, find the currency you paid with. Refund information is at the bottom of each page. Refunds to other payment typesIf you paid for your transfer another way, please find the currency you paid with. Refund information is at the bottom of most currency pages.",https://wise.com/help/articles/2971476/how-long-do-refunds-take
Cancellations and refunds,Where will you refund my money?,"If your transfer gets cancelled, or the recipient bank sends the money back to us, we’ll automatically refund it to the bank account or card that you paid with.If you sent money from your Wise balance, we'll refund it to the balance you used.Why is Wise asking me for refund account details?For some currencies, the details of the bank account you paid with aren’t visible to Wise. In these cases, we’ll ask for your bank account details — it’s safe and secure to fill them in. And we can’t refund your money without them.We might also ask for refund account details if you’ve accidentally sent us too much money. Or if there’s money left over after you’ve made an amount lock transfer.Tip: If you’ve paid from a bank account in Brazil, refunds work slightly differently. Learn more about refunds to Brazilian bank accounts.How do I add my refund bank account details?Select the transfer on hold from the list on your TransactionsSelect Fix your transferProvide your bank account details This should be the same bank account that you have paid with. All fields are mandatory.Once successful, you will receive a refund confirmation email from us. Learn more about how long refunds take",https://wise.com/help/articles/2932372/where-will-you-refund-my-money
Cancellations and refunds,Is there a refund fee?,"Generally no, there’s no fee for cancelling and refunding a transfer. We’ll refund the full amount you paid us in most cases, except for Swift transfers.Learn more about Swift payments.",https://wise.com/help/articles/2971422/is-there-a-refund-fee
Cancellations and refunds,I want a refund to my Wise balance,"Wise refunds your money to the account you paid with. This means we’ll only refund money to your balance if you used it to pay for your transfer. If you sent money from your bank account, we’ll refund your money back to your bank account. Tip: Learn about using balances in your Wise account.",https://wise.com/help/articles/2977996/i-want-a-refund-to-my-wise-balance
We support these countries and currencies,What currencies can I send to and from?,"Here are the currencies you can send to and from your balances on your Wise account. The first list shows what currencies you can both pay from and send to, and the second list shows currencies you can only send to.Learn more about the details or limitations for each currency by clicking on the links.You can send money to and from these currenciesAUD — Australian dollar Within Australia. Receive from outside of Australia.BGN — Bulgarian lev Within Bulgaria. Receive to GBP IBAN from outside of Bulgaria. BRL — Brazilian real Within Brazil.CAD — Canadian dollar Within Canada.CHF — Swiss franc Within Switzerland and Liechtenstein.CZK — Czech koruna Within Czechia. Receive to GBP IBAN from outside of Czechia. DKK — Danish krone Within Denmark. Receive to GBP IBAN from outside of Denmark. EUR — Euro Wise can send out euros to SEPA-compliant bank accounts within SEPA, and to bank accounts denominated in EUR with an IBAN outside of SEPA. We can also receive euros through Swift from outside the SEPA zone.GBP — British pound Wise can also send out GBP to bank accounts denominated in GBP with an IBAN. You can receive international Swift payments from outside the UK from certain countries in 17 different currencies: GBP, USD, EUR, CAD, AUD, NZD, SGD, SEK, NOK, DKK, PLN, HKD, CHF, CZK, JPY, HUF, BGN to your GB global account details without any additional fees. Deposit will be settled in the currency that we receive. You would just need to provide your GBP IBAN to the sender. HKD — Hong Kong dollar Within Hong Kong. Receive to GBP IBAN from outside of Hong Kong. HUF — Hungarian forint Within Hungary. Receive to GBP IBAN from outside of Hungary. IDR — Indonesian rupiah Within Indonesia.ILS — Israeli shekels Customers with an Israeli ID (Israeli national) not living in Israel can also send from ILS.INR — Indian rupee Wise sends out INR via RTGS, NEFT, TPT (as appropriate) to INR-denominated accounts in India. We can only receive INR from Indian residents. JPY — Japanese yen Within Japan. Receive to GBP IBAN from outside of Japan. MYR — Malaysian ringgit Within Malaysia.NOK — Norwegian krone Within Norway. Receive to GBP IBAN from outside of Norway. NZD — New Zealand dollar Within New Zealand. Receive to GBP IBAN from outside of New Zealand. PLN — Polish złoty Within Poland. Receive to GBP IBAN from outside of Poland.RON — Romanian leu Within Romania.TRY — Turkish lira Wise can receive TRY locally from within Türkiye and internationally through Swift. We can only send TRY to bank accounts located in Türkiye, denominated in TRY. SEK — Swedish krona Within Sweden. Receive to GBP IBAN from outside of Sweden.SGD — Singapore dollar Within Singapore. Receive to GBP IBAN from outside of Singapore.USD — US dollar Wise can receive USD via ACH bank debit, domestic wire, and international Swift payment.You can only send money to these currencies (via local transfer)AED — Emirati Dirham Within the UAE.BDT — Bangladeshi taka Within Bangladesh.BWP — Botswana pula Within Botswana.CLP — Chilean peso Within Chile.CNY — Chinese yuan Within China, from a limited list of countries.COP — Colombian peso Within Colombia. Wise can only send COP to Bancolombia recipients within Colombia. Currently, we are unable to send business payments to COP.CRC — Costa Rica Colón Within Costa Rica.EGP — Egyptian pound Within Egypt.GEL — Georgian lari Within Georgia.KES — Kenyan shillings Within Kenya.KRW — South Korean won Within South Korea.LKR — Sri Lankan rupee Within Sri Lanka.MAD — Moroccan dirham Within Morocco.MXN — Mexican peso Within Mexico.NGN — Nigerian Naira Within Nigeria. NPR — Nepalese Rupee Within Nepal.PHP — Philippine peso Within the Philippines.PKR — Pakistani rupee Wise can send payments to personal accounts within Pakistan. Currently we are unable to send business payments to PKR.THB — Thai baht Within Thailand.TZS — Tanzanian shilling Within Tanzania.UAH — Ukrainian hryvnia Within Ukraine. UGX — Ugandan shilling Within Uganda.UYU — Uruguayan pesos Within Uruguay.VND — Vietnamese dong Within Vietnam. ZAR — South African Rand Within South Africa. Wise sends out ZAR via Swift international payment (in South Africa only) and local transfers.ZMW — Zambian kwacha Within Zambia. Where can Wise send money?Wise has a network of bank accounts globally in various countries, enabling us to support members in all of our currencies above. Here’s the full list of supported Wise countries.Don’t see what you’re looking for?We’re working continuously to expand Wise to more countries. You can visit our currency wishes page to make sure you’re the first to be informed about new routes we add, and you can also stay up to date via our Blog, Facebook and X.",https://wise.com/help/articles/2571907/what-currencies-can-i-send-to-and-from
We support these countries and currencies,What countries/regions can I send to?,"Here’s a list of the countries/regions you can send money to with Wise. Choose the one you’re interested in to get more information, including what types of transfers you can send, and whether you can send business transfers. ArgentinaAustraliaBangladeshBrazilBulgariaCanadaChileChinaColombiaCosta RicaCzech RepublicDenmarkEgyptEuropeGeorgiaGhanaGuatemalaHong KongHungaryIndiaIndonesiaIsraelJapanKenyaMalaysiaMexicoMoroccoNepalNew ZealandNigeriaNorwayPakistanPhilippinesPolandRomaniaSingaporeSouth AfricaSouth KoreaSri LankaSwedenSwitzerland and LiechtensteinTanzaniaThailandTurkeyUgandaUkraineUnited Arab EmiratesUnited KingdomUnited States of AmericaUruguayVietnamZambiaWhat if I don’t see the country/region I want to send money to?You might still be able to send money to your recipient’s country/region if their account is denominated in USD, EUR or GBP.Learn more about: sending GBP to countries outside the UKsending EUR to countries outside the SEPA zonewhich countries/regions can I send EUR to via Swift?sending USD to countries outside the USwhich countries/regions can I send USD to via Swift?You can also vote for the currency you’re interested in.",https://wise.com/help/articles/2571942/what-countriesregions-can-i-send-to
We support these countries and currencies,How much does it cost to send USD to countries outside the US,"The easiest way to see the exact pricing is to set up a transfer — we'll calculate everything for you and show you up front what you're paying. Our prices vary depending on what currency you’re sending from and how you pay for your transfer – for example Wire, ACH or your Wise balance. If we predict you won’t be charged a correspondent fee, we’ll charge between 1-16 USD* depending on how you payIf we predict you’ll be charged a correspondent fee, we’ll charge between 3-37 USD* depending on how you pay and where you're sending toCheck where you can send USD to*Note: some payment methods or currency conversions have percentage fees that may increase the fee. Check the tables below for detailed info. How does Swift work?Sending money with the Swift payment messaging network is like travelling from one airport to another — it’s not always possible to take a direct flight, so you may need to travel from city to city via several connecting flights.Swift works the same way. The money will travel from one country to another through correspondent banks. These correspondent banks often charge their own fees.We’ve built a prediction tool based on the correspondent banks’ historical fees and speed. If it suggests your payment will be charged, we include the fee when calculating your transfer cost.On this page we show you our fees in USD for easy comparison. Keep in mind that we’ll always take the fees in the currency you’re sending from. So, if you’re paying in EUR, we’ll charge the fees in EUR as well, but it'll be equivalent to the USD fees we calculated. If we predict you won’t be charged a correspondent feeBased on how you send us the money and the currency it’s in, we’ll charge you the following: Currency and paying methodSwift Share*USD wire17.41 USDUSD ACH11.30 USD + 0.28%USD Wise balance12.43 USDEUR bank transfer2.37 USD + 0.51%GBP bank transfer2.08 USD + 0.38%AUD bank transfer2.13 USD + 0.40%*Swift Share fees if we predict you won't be charged a correspondent feeExample: you send 3,900 USD to China. You pay for this transfer with a USD Wire transfer. We then predict that you won’t be charged a correspondent fee, so the cost of your transfer will be 17.41 USD.The fee would be different if you select ACH to pay for the transfer. If you used this method, the cost of your transfer would be 11.31 USD (11.30 USD + 0.28% * 3,900 USD = 22.22 USD). If we predict you’ll be charged a correspondent feeThe fee we charge depends on the country you're sending money to. If your recipient is in one of these countries: Belgium, Bulgaria, Denmark, Germany, Indonesia, Israel, Japan, Netherlands, Poland, South Korea, Spain, Taiwan, Thailand, Turkey, United Arab Emirates, Uruguay, Vietnam. Based on how you send us the money and the currency it’s in, we’ll charge you the following:Currency and payment methodSwift Share**USD wire36.40 USDUSD ACH30.29 USD + 0.28%USD Wise balance31.42 USDEUR bank transfer21.36 USD + 0.51%GBP bank transfer21.07 USD + 0.38%AUD bank transfer21.12 USD + 0.40%**Swift Share fees if we predict you will be charged a correspondent feeExample: you send 3,900 USD to Taiwan. You fund this with a GBP bank transfer. We then predict that you’ll be charged correspondent fees, so your transfer will cost 35.89 USD (21.07 USD + 0.38% * 3900 USD = 35.89 USD).If your recipient is in Hong Kong Based on how you send us the money and the currency it’s in, we’ll charge you the following: Currency and payment methodUSD Swift Payout to a recipient in Hong KongUSD wire19.38 USDUSD ACH13.27 USD + 0.28%USD Wise balance14.40 USDEUR bank transfer4.34 USD + 0.51%GBP bank transfer4.05 USD + 0.38%AUD bank transfer4.1 USD + 0.40%Example: you send 3,900 USD to Hong Kong and you fund it with an AUD bank transfer. It will cost 19.7 USD (4.10 USD + 0.40% * 3,900 USD = 19.7 USD). If your recipient is in Singapore The fee depends on where they bank, as well as on how you send us the money and the currency it’s in.Currency and payment methodUSD Swift Payout to recipient in Singapore with DBS accountUSD wire16.68 USDUSD ACH10.57 USD + 0.28%USD Wise balance11.70 USDEUR bank transfer1.64 USD + 0.51%GBP bank transfer1.35 USD + 0.38%AUD bank transfer1.4 USD + 0.40%Example: you send 2,000 USD to Singapore and they have an account with DBS. You fund this with a USD ACH transfer. It'll cost 16.17 USD (10.57 USD + 0.28% *2,000 USD = 16.17 USD).If your recipient is in UkraineThe fees depend on whether the recipient has a PrivatBank account. Check the two tables below to compare.With PrivatBank accountCurrency and payment methodUSD Swift Payout to recipient in Ukraine with PrivatBankUSD wire16.68 USD + 1.28%USD ACH10.57 USD + 1.56%USD Wise balance11.70 USD + 1.28%EUR bank transfer1.64 USD + 1.79%GBP bank transfer0.35 USD + 1.66%AUD bank transfer0.4 USD + 1.68%Without PrivatBank accountCurrency and payment methodUSD Swift Payout to recipient in Ukraine without PrivatBankUSD wire36.40 USDUSD ACH30.29 USD + 0.28%USD Wise balance31.42 USDEUR bank transfer21.36 USD + 0.51%GBP bank transfer21.07 USD + 0.38%AUD bank transfer21.12 USD + 0.40%Example: you send 1,000 USD to Ukraine and the recipient account is with PrivatBank. If your funding method is Bank Transfer and your funding currency is EUR, it'll cost 19.54 USD ( 1.64 USD + 1.79% * 1,000 USD = 19.54 USD).If your recipient is in any other countryWe'll charge the following fees, based on how you send us the money and the currency it’s in. See exceptions below and read more about it here.Currency and payment methodUSD Swift Payout to a recipient in any other countryUSD wire23.93 USDUSD ACH17.82 USD + 0.28%USD Wise balance18.95 USDEUR bank transfer8.89 USD + 0.51%GBP bank transfer8.6 USD + 0.38%AUD bank transfer8.65 USD + 0.40%Example: you send 3,900 USD to China . You fund this with a EUR bank transfer. We then predict that you’ll be charged a correspondent fee, so the cost of your transfer is 28.78 USD (8.89 USD + 0.51% * 3,900 USD = 28.78 USD).What about FFC payments?We can’t send For Further Credit (FFC) payments. FFC is a payment made to a beneficiary that is not final. This means you can't send money to a recipient who will then forward the money somewhere else. These transactions require a separate field for entering the actual final recipient, and we don't have that option.",https://wise.com/help/articles/2946451/how-much-does-it-cost-to-send-usd-to-countries-outside-the-us
We support these countries and currencies,What countries and regions can I send USD to via Swift?,"With Wise, you can send USD to bank accounts located outside of the United States that are also in USD.We send these transfers via the Swift payment messaging network. It’s not the same as sending a regular Wise transfer, and could take up to 6 working days. It also costs a bit more as it goes through intermediary banks. When setting up a transfer, if you enter a Swift code for a country we can't accept, we'll let you know. Countries and regions you can send USD to via Swift Albania Algeria Andorra Angola Anguilla Antigua and Barbuda Argentina Armenia Australia Austria Azerbaijan Bahamas Bahrain Barbados Belgium Bhutan Bolivia Botswana Bosnia & Herzegovina Brunei Darussalam Bulgaria Burkina Faso Canada Cambodia Cayman Islands Channel Islands Chile China Christmas Island Cocos (Keeling) Islands Cook Islands Costa Rica Côte d'Ivoire Croatia Cyprus Czech Republic Denmark Dominica Dominican Republic Ecuador El Salvador Estonia Ethiopia Falkland Islands (Malvinas) Faroe Islands Fiji Finland France French Guiana French Polynesia Gabon Gambia Georgia Germany Ghana Gibraltar Greece Greenland Grenada Guadeloupe Guatemala Guernsey Guinea Guinea-Bissau Guyana Haiti Holy See (Vatican City State) Honduras Hungary Iceland India Indonesia Ireland Isle of Man Israel Italy Jamaica Japan Jersey Kazakhstan Kenya Kiribati Kuwait Kyrgyzstan Laos Latvia Lebanon Liberia Liechtenstein Lithuania Luxembourg Macao SAR China Macedonia (Republic of North) Malawi Malaysia Mali Malta Marshall Islands Martinique Mauritania Mauritius Mayotte Mexico Micronesia (Federated States of) Monaco Mongolia Montenegro Montserrat Morocco Namibia Nauru Nepal Netherlands New Caledonia New Zealand Nicaragua Niger Niue Norfolk Island Northern Mariana Islands Norway Palau Panama Papua New Guinea Paraguay Peru Philippines Poland Portugal Reunion Romania Rwanda Saint Helena Saint Kitts and Nevis Saint Lucia Saint Vincent and Grenadines Samoa San Marino Sao Tome and Principe Senegal Serbia Seychelles Sierra Leone Singapore (payments to non-DBS accounts) Slovakia Slovenia Solomon Islands South Africa South Korea Spain Sri Lanka Suriname Sweden Switzerland Taiwan (Republic of China) Tajikistan Tanzania Thailand Timor-Leste Tonga Trinidad and Tobago Tunisia Turkey Turks and Caicos Islands Tuvalu Uganda Ukraine (non-PrivatBank recipients) Ukraine (PrivatBank recipients) United Arab Emirates United Kingdom Uruguay Uzbekistan Vanuatu Vietnam Wallis and Futuna Islands Zambia For some countries, USD transfers are sent via the local payment system which is faster and cheaper than Swift. For bank accounts in: The US we'll send USD locally via ACH or wire Hong Kong we'll send USD locally via CHATS Ukraine (personal accounts) we'll send USD locally via PrivatBankSingapore we'll send USD locally via DBSThe amount you can send in USD is the same as how much you can send in the local currency, so check the local currency limits first.How much does it cost?For most countries/regions you can send USD to, we're protecting your payment.Wise covers the fee automatically if we predict that your payment might get charged. To predict these fees, we have built a prediction tool for the correspondent bank fees and speed, based on historical data.This way, we make sure that you pay as little as possible, and that your recipient is receiving the right amount.Learn more about how much it costs to send USD outside the US",https://wise.com/help/articles/2974947/what-countries-and-regions-can-i-send-usd-to-via-swift
We support these countries and currencies,SEPA countries and IBANs,"Below is a list of SEPA countries (and corresponding information about IBANs of each country) that Wise can send euros (EUR) to and from locally.However, some banks may not be SEPA compliant so we may need to send via Swift instead. To find your bank code (BIC), try our BIC finder tool.SEPA countriesIBAN beginningLengthNotesAustriaAT20-AndorraAD24-BelgiumBE16-BulgariaBG22We can also send Bulgarian lev to BulgariaCroatiaHR21-CyprusCY28-Czech RepublicCZ24We can also send and receive Czech koruna to and from the Czech RepublicDenmarkDK18We can also send and receive Danish krone to and from DenmarkEstoniaEE20-FinlandFI18Including Åland IslandsFranceFR27Including French Guiana, Guadeloupe, Martinique, Mayotte, Saint Barthélemy, Saint Martin (French part) and Saint Pierre and Miquelon, and Réunion Island.Does not include French Polynesia, New Caledonia, Wallis and Futuna and French Southern and Antarctic LandsGermanyDE22-GibraltarGI23We can also send British pounds to Gibraltar. For more information see our GBP articleGreeceGR27HungaryHU28We can also send and receive Hungarian forint to and from HungaryIcelandIS26-IrelandIE22-ItalyIT27-LatviaLV21-LiechtensteinLI21-LithuaniaLT20-LuxembourgLU20-MaltaMT31-MonacoMC27NetherlandsNL18Excluding the Caribbean IslandsNorwayNO15We can also send and receive Norwegian krone to and from NorwayPolandPL28We can also send and receive Polish złoty to and from PolandPortugalPT25Including the Azores, MadeiraRomaniaRO24We can also send and receive Romanian leu to and from RomaniaSan MarinoSM27-SlovakiaSK24-SloveniaSI19-SpainES24Including the Canary IslandsSwedenSE24We can also send and receive Swedish krona to and from SwedenSwitzerlandCH21We can also send and receive Swiss francs to and from SwitzerlandUKGB22We can also send and receive British pounds to and from the UK",https://wise.com/help/articles/2968880/sepa-countries-and-ibans
We support these countries and currencies,Sending GBP to countries outside of the UK,"With Wise, you can send British pounds (GBP) to bank accounts in countries outside of the UK. You can also now send GBP to bank accounts in the UK that Wise otherwise can’t support. These are bank accounts that don’t accept CHAPS or Faster Payments.As long as the receiving bank account is denominated in GBP and has an IBAN, you can send GBP there.We send GBP to bank accounts outside of the UK using the Swift payment network. It’s different than a regular Wise transfer, so it’ll take a bit longer to reach the recipient. How it worksSet up your transfer on Wise. You’ll need to add a new recipient to get started.Add the IBAN number of the recipient’s bank account.Pay for your transfer. We’ll then send the GBP to your recipient as usual.How much it costsYour fee: It costs us extra to send money by Swift, so we’ll add that amount to the regular Wise fee.For the most up to date information on your fees, please see the Terms of Use for your region.Your recipient’s fee: Your recipient’s bank may charge fees to receive payments sent with Swift. Also, the recipient might be charged by any banks that handle the money along the way. We don’t have control over when these fees are charged, or how much they cost.Where you can send GBPYou can send GBP to all SEPA countries, as well as to:AlbaniaArubaAzerbaijanBahrainBangladeshBermudaBosnia and HerzegovinaBritish Virgin IslandsCape VerdeCosta RicaDominican RepublicEgyptFaroe IslandsGeorgiaGreenlandGuatemalaKazakhstanKosovoKuwaitIsraelLebanonLesothoMaldivesMoldovaMontenegroMozambiqueMauritaniaMauritiusNorth MacedoniaOmanQatarSaint LuciaSerbiaSaudi ArabiaSeychellesSao Tome and PrincipeTunisiaTimor-LesteUkraineUnited Arab Emirates (UAE)What about FFC payments?We can’t send For Further Credit (FFC) payments. FFC is a payment made to a beneficiary that is not final. This means you can't send money to a recipient who will then forward the money somewhere else. These transactions require a separate field for entering the actual final recipient, and we do not have that option.",https://wise.com/help/articles/2977936/sending-gbp-to-countries-outside-of-the-uk
We support these countries and currencies,Which countries/regions can I send EUR to via Swift?,"You can send EUR via Swift to the following countries/regions with Wise:AlbaniaAlgeriaAmerican SamoaAndorraAngolaAnguillaAntigua and BarbudaArgentinaArmeniaArubaAustraliaAzerbaijanBahamasBahrainBangladeshBarbadosBeninBermudaBhutanBoliviaBosnia and HerzegovinaBotswanaBritish Virgin IslandsBrunei DarussalamBurkina FasoCambodiaCape VerdeCayman IslandsChannel IslandsChileChinaChristmas IslandCocos (Keeling) IslandsCook IslandsCosta RicaCôte d’IvoireDominicaDominican RepublicEcuadorEgyptEl SalvadorEthiopiaFalkland Islands (Malvinas)Faroe IslandsFijiFrench PolynesiaGabonGambiaGeorgiaGhanaGreenlandGrenadaGuatemalaGuineaGuinea-BissauGuyanaHaitiHoly See (Vatican City State)HondurasHong Kong, SAR China (locally, via CHATS system)IndiaIndonesiaIsraelJamaicaJapanKazakhstanKenyaKiribatiSouth KoreaKosovoKuwaitKyrgyzstanLao PDRLebanonLesothoLiberiaMacao, SAR ChinaMacedonia (Republic of North)MalawiMalaysiaMaldivesMaliMarshall IslandsMauritaniaMauritiusMexicoMicronesia (Federated States of)MoldovaMongoliaMontenegroMontserratMoroccoMozambiqueNamibiaNauruNepalNew CaledoniaNew ZealandNicaraguaNigerNiueNorfolk IslandOmanPalauPanamaPapua New GuineaParaguayPeruPhilippinesQatarRwandaSaint HelenaSaint Kitts and NevisSaint LuciaSaint Vincent and GrenadinesSamoaSan MarinoSao Tome and PrincipeSaudi ArabiaSenegalSerbiaSeychellesSierra LeoneSingaporeSolomon IslandsSouth AfricaSri LankaSurinameTaiwan (Republic of China)TajikistanTanzania (United Republic of)ThailandTimor-LesteTongaTrinidad and TobagoTunisiaTürkiyeTuvaluUgandaUkraineUnited Arab EmiratesUnited KingdomUnited States of AmericaUruguayUzbekistanVanuatuVietnamWallis and Futuna IslandsZambiaLearn more about sending EUR to countries outside of Europe",https://wise.com/help/articles/2978075/which-countriesregions-can-i-send-eur-to-via-swift
Ways to pay,How to pay by bank transfer,"First, you’ll need to set up your transfer on Wise. Then, you’ll need to exit your Wise account, and pay by bank transfer directly through your bank. You can do this either:online, through your online bankingover the phone, with your telephone bankingor in person, at a bank branchby ATM with a cash card for JPY Here’s a step by step guide with a bit more detail. 1. Set up your transfer on WiseSet up your transfer — choose how much you’re sending, and enter your recipient’s bank details. 2. Choose bank transfer at the payment stepWhen you get to the payment step, choose bank transfer. This will bring up Wise’s bank account details, as well as a reference. Make a note of these — you’ll need them to pay with bank transfer through your bank.3. Leave your Wise account, and pay by bank transfer directly through your bankImportant: To make sure that your transfer isn’t delayed, please double check that: The name on your bank account matches the name on your Wise account — if the names don’t match, we won’t be able to process your transfer. We can’t accept your deposit if you use someone else’s bank account with power of attorney to fund your transfer. But if you have a joint bank account, please see here.You’ve included the reference correctly — this helps us identify your deposit and proceed with your transfer.You enter the exact amount you’re sending with Wise — paying more or less could delay your transfer.If you’re making a bank transfer from a UK bank, which is under the limit set by your bank, you may also see an option called Log in and approve. This is a faster and easier way of making an online bank transfer. If you choose that option, you’ll need to enter your online banking details, pick which account you’d like to pay from, and click approve. And that’s it — we do the rest. 4. You’re all done — wait for confirmationWe’ll send you an email as soon as your money arrives in Wise’s bank account. Then, we’ll convert it and pay it out to your recipient.",https://wise.com/help/articles/2559761/how-to-pay-by-bank-transfer
We support these countries and currencies,Sending EUR to countries outside of Europe,"With Wise, you can send euros (EUR) to bank accounts in countries outside of SEPA using Swift. What’s a Swift transfer?When you send a same-currency transfer, it’s sent via the Swift messaging network. An example would be when you send euros to a EUR bank account outside of SEPA — as opposed to it being converted to another currency.How does Swift work?Sending money with the Swift payment network is like travelling from one airport to another – it’s not always possible to take a direct flight, so you may need to travel from city to city via several connecting flights.Swift works the same way. The money will travel from one country to another through correspondent banks. These correspondent banks often charge their own fees that are separate from our fees.How to set it upSet up your transfer on Wise. You’ll need to add a new recipient to get started. Add your recipient’s account details.Pay for your transfer. We’ll send the EUR to your recipient as usual. How much it costsYour feesIt costs us extra to send money by Swift, so we’ll add that amount to the regular Wise fee. There may also be additional fees from correspondent or recipient banks when sending by Swift. If you're converting from another currency to EUR we'll charge a conversion fee, but if you're paying with EUR and sending to EUR then we just charge a flat fee.*Check the tables below for pricing. Your total fee will be the fixed fee plus the variable fee. You'll see how much the extra fee is when setting up a transfer, but you can also check pricing here and review the Terms of Use for your region. When sending EUR to to countries outside of SEPA: Fixed feeVariable feeCross-currency2.24 EUR0.03%Same currency (EUR)*5.28 EUR0.00%Paying into Wise by bank (EUR)0.95 EUR0.00%*If you're sending EUR outside of SEPA from your Wise balance, there's an additional 0.48 EUR fee.*If you're sending to a personal PrivatBank account in Ukraine: Fixed feeVariable feeCross-currency0.76 EUR1.03%Same currency (EUR)3.80 EUR1.00% Not applicable to business PrivatBank accounts.Your recipient’s feesWhen sending to EUR bank accounts to countries outside of SEPA the recipient's bank may charge fees to receive Swift payments.**In addition, correspondent banks along the way might charge additional fees to process the money. We don’t have control over when these fees are charged, or how much they cost.Learn more about Swift correspondent fees **Note: if you're sending to a personal PrivatBank account in Ukraine the recipient bank won't charge additional fees. Where you can send EURYou can’t send EUR to every country yet. Check where you can send EUR via Swift.",https://wise.com/help/articles/2968916/sending-eur-to-countries-outside-of-europe
Ways to pay,Problems paying by bank transfer,"Sometimes, when you’re setting up a Wise transfer and need to pay for it with the money in your other bank account, you might run into a problem. We hope it goes smoothly for you, but in case it doesn’t — here are some of the most common problems, and what you can do to solve them.Missing reference numberWhen you pay by bank transfer, we show you a reference number with the rest of our bank details. This number helps us identify which payment is yours when you send your payment to us. You’ll need to include the number in the reference field when setting up a payment from your bank account.If you didn’t include the reference number when you sent your payment to us, your transfer could be delayed while we try to identify which bank payment is from you. To help us find it faster, you’ll need to upload a proof of payment document. Once you upload your proof, someone on our team will be in touch within a few days.Incorrect transfer amountSometimes, you might accidentally send the wrong amount. When you set up a transfer with us, make sure to send the exact amount of money from your bank. We’ll show you how much to send along with the rest of our bank details.If you sent us more than needed, we’ll refund the excess once we’ve completed the transfer.If you sent us less than needed, we’ll pause the transfer and email you to ask what you’d like to do next.Learn more about what to do if you sent the wrong amountTransfer delayed due to a public holidayWe can only move your money during normal banking hours. So if you send money outside of those hours, or it's around a national holiday, it may take longer than usual for the bank to process your payment. You can call your bank to find out.Mismatch between your name on your bank account and Wise accountWhen you send us a payment, the name on the bank account where the money is coming from must match your name on Wise. The only exceptions are if you’re paying from a joint account, or if you’re paying as a business through your Wise Business account.In most cases, you can’t have someone else paying for your transfer from their bank account. So if they did, you’ll need to cancel it. You can set it up again and pay for it from your own account.Learn more about sending from a different account and some exceptions hereIncorrect Wise bank details entered If you’ve made a mistake when entering the Wise details we show you on the screen, the money will likely be rejected and come back to you. Your bank will likely notify you when your money bounced back to you, or you can call your bank to find out. We won't be able to see these payments.Multiple transfers set up If you created multiple transfers, but only paid for one of them, that money will be linked to the oldest transfer you created. You can cancel any transfer you haven't paid for or don’t intend to complete, and leave just one active. Then we'll know that's where we can assign your money. I did everything correctly, but the payment still didn’t arriveDouble-check one more time — sometimes it’s a small mistake, and checking helps you find it. But if you’ve checked and nothing is amiss, then reach out to our team and we’ll do our best to help you.",https://wise.com/help/articles/2968910/problems-paying-by-bank-transfer
